id,username,created_at,lng,lat,text
1516250739894632458,TorreRellotge,Tue Apr 19 03:02:01 +0000 2022,1.893817,41.545639,DONG DONG DONG DONG DONG!!!!!
1516250750275534859,ShortySan1986,Tue Apr 19 03:02:04 +0000 2022,-2.772015,55.428405,Looks like it's happening!!! https://t.co/N4AxLtIRZv
1516250759620354051,kuzukito,Tue Apr 19 03:02:06 +0000 2022,-9.0333065,51.903863,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/A5GHCxsuGD
1516250814049882114,KrisMonkeyDay,Tue Apr 19 03:02:19 +0000 2022,-1.423629,54.881608,😂😂 ha ha. Creased at this like.
1516250860266864648,bishopstonwthr,Tue Apr 19 03:02:30 +0000 2022,-2.596979,51.478303,"03:56 BST: Temperature: 6.3°C, Wind: S, 0 mph (ave), 1 mph (gust), Humidity: 92%, Rain (hourly) 0.0 mm, Pressure: 1002 hPa, falling slowly"
1516250886674202624,AsimAli_7119,Tue Apr 19 03:02:36 +0000 2022,-1.664672,53.7018195,@SyedaTanya Dear check her information. She is idiots of the year#امپورٹڈ_گورنمنٹ_نامنظور https://t.co/ramUhxwnet
1516250887974436870,odrikez,Tue Apr 19 03:02:36 +0000 2022,4.431448,50.848416,"@timevalueofbtc Btw, there's a @timevaleofbtc account with 12K subscribers out there... watch out"
1516250931687481348,Jzcheniah,Tue Apr 19 03:02:47 +0000 2022,30.055782999999998,40.845405,6:02 am and Im still awake. Yep that's how messed up my sleeping routine 🥲
1516250936410267648,Skoach05,Tue Apr 19 03:02:48 +0000 2022,-3.0394275,53.362693,@celtic2310 @BrianMa66991929 People are scum. Look at City with the minutes silence on Saturday. No respect
1516250986083504130,_sampsonfredric,Tue Apr 19 03:03:00 +0000 2022,10.926673,44.561615,@OmoKeyinde9 @jhenifa_ 21st May too 😊
1516250987425632261,SethsalamUllah,Tue Apr 19 03:03:00 +0000 2022,12.249915,55.588027499999995,#امپورٹڈ_حکومت_نامنظور  with pakistan stand
1516250987643744263,swedenqueenlk,Tue Apr 19 03:03:00 +0000 2022,12.934894,55.5798575,@w_white18 Goodmorning beautifull from Malmö Sweden 👏☀️☀️☀️its 5 in the morning now 😴😴 Love U FOREVER 🙄🔥😍🥰🇸🇪
1516250994514051075,_KCorso,Tue Apr 19 03:03:02 +0000 2022,-2.271766,53.517831,4 Days To Go ⏰ 🥊 #FuryWhyte  Super Excited !!!! Let’s Go!!!!!!!! https://t.co/4Qka8an0ke
1516251058275823631,WistfulCass,Tue Apr 19 03:03:17 +0000 2022,-1.5186514999999998,52.411913,"Hey, Tory voters! Watch this 👇then consider whether lying, b*stard below deserves your vote again 🤥#JohnsonOut84… https://t.co/R9hANVMIHI"
1516251069650771975,lodi_tiziana,Tue Apr 19 03:03:20 +0000 2022,9.170774999999999,44.744214,The Alexandria Times https://t.co/F3P1JvI0Dy
1516251088646717444,shaktipd,Tue Apr 19 03:03:24 +0000 2022,0.076559,51.50644,Improving soil quality results in 20-40% increase in crop production @cpsavesoil #SaveSoil https://t.co/JO2BwgnT7B
1516251123560198145,fmm939,Tue Apr 19 03:03:33 +0000 2022,-3.713356,40.47177,"@Native3rd Yes, that's how it is.Good Nigth from Madrid 🇪🇸España Rest, Dream.Happy Dawn🦋♥️🖤🌈 https://t.co/rCN15kY4GE"
1516251128190889984,therailwayman66,Tue Apr 19 03:03:34 +0000 2022,-1.0669855,50.818864500000004,@alanheard14 @Rachelpreston71 @SarahCo66295526 Cheers Al 👍
1516251161447342081,poseidon_1501,Tue Apr 19 03:03:42 +0000 2022,27.006511,38.4079305,823. Heavenly - İlahi.
1516251179931652097,bobjimrob,Tue Apr 19 03:03:46 +0000 2022,-0.2708845,51.94962,@CardyFreddie @MaracAndrzej @HitchinTownFC @RowanScourfield @FScourfield08 Thanks @CardyFreddie for bringing the ga… https://t.co/O4kj57BFLl
1516251180049051652,ben_k_99,Tue Apr 19 03:03:46 +0000 2022,-4.2914215,55.794269,Good God almighty
1516251184096550914,Migscellin,Tue Apr 19 03:03:47 +0000 2022,-5.1173,50.262061,Abi is wylin' out on Twitter rn
1516251187024117761,Tom___06,Tue Apr 19 03:03:48 +0000 2022,7.1047715,43.582334,GOOD D !
1516251211057532928,hajersart,Tue Apr 19 03:03:53 +0000 2022,-1.6453615,54.9920555,Won’t you visit me in my dreams tonight?
1516251216367476741,FloBVB180,Tue Apr 19 03:03:55 +0000 2022,9.15245,47.708929,Steph/Klay/JP/Wiggins/Draymond - there’s no better lineup in the league!! #DubNation
1516251228715556871,revmaryhawes,Tue Apr 19 03:03:58 +0000 2022,-0.306996,51.4405145,Ah 4am - what a relief to see you after 3 hours awake.... https://t.co/3mdpjZmmjj
1516251231618015236,hassantz45,Tue Apr 19 03:03:58 +0000 2022,30.680889,36.89007,"One of the prime trips of Tanzania Safari Adventure, Serengeti national Park is the land of magic as it is named as… https://t.co/NStbBAkPJj"
1516251256108597252,ben_k_99,Tue Apr 19 03:04:04 +0000 2022,-4.2914215,55.794269,Definition of a slow news day
1516251267487744002,JamesYeabo,Tue Apr 19 03:04:07 +0000 2022,-0.5701175,51.236420499999994,@evoauYT Don't sub to my YT channel :) https://t.co/l4eFw4No56
1516251331077492740,ArsGratiaArtis1,Tue Apr 19 03:04:22 +0000 2022,-6.395315500000001,52.957955999999996,@jimrosecircus1 That banging on the door offered up so many possibilities... https://t.co/7wxGv39jHQ
1516251338753163275,TimoWaris,Tue Apr 19 03:04:24 +0000 2022,24.429752,61.4712615,Good Morning Friends ✝️⚓❤️#thecelticchristiantradition #cslewis https://t.co/lD9ZC1NtrR
1516251375197462528,xt76f,Tue Apr 19 03:04:33 +0000 2022,-2.1270405,57.160556,Bednoise -U HAVE No 04:01am Right Gucci Stigma Wrist IDEA WHO UR FUCKIN' DEALING WITH 0 4 0 2 left rib I told you y… https://t.co/68vtfNOyK0
